Mes,Semana,Tarefa,Nuno previsto,Nuno real,António previsto,António real,Total previsto,Total Real
2,1,"Definir: problema, dados e solução",7,2,7,2,14,4
2,1,Reunir,1,0,1,0,2,0
2,2,Validar assunções através de EDA,5,0,5,0,10,0
2,2,Reunir,1,0,1,0,2,0
2,3,Validar assunções através de um MVP,10,0,10,0,20,0
2,3,Reunir,1,0,1,0,2,0
2,4,Fazer o relatório inicial,3,0,3,0,6,0
2,4,Reunir,1,0,1,0,2,0
,,,,,,,58,4
,,,,,,,,
,,,,,,,,
3,1,,0,0,0,0,0,0
3,1,Reunir,1,0,1,0,2,0
3,2,,0,0,0,0,0,0
3,2,Reunir,1,0,1,0,2,0
3,3,,0,0,0,0,0,0
3,3,Reunir,1,0,1,0,2,0
3,4,,0,0,0,0,0,0
3,4,Reunir,1,0,1,0,2,0
,,,,,,,8,0
,,,,,,,,
,,,,,,,,
4,1,,0,0,0,0,0,0
4,1,Reunir,1,0,1,0,2,0
4,2,,0,0,0,0,0,0
3,2,Reunir,1,0,1,0,2,0
4,3,,0,0,0,0,0,0
3,3,Reunir,1,0,1,0,2,0
4,4,,0,0,0,0,0,0
3,4,Reunir,1,0,1,0,2,0
,,,,,,,8,0
,,,,,,,,
,,,,,,,,
5,1,,0,0,0,0,0,0
5,1,Reunir,1,0,1,0,2,0
5,2,,0,0,0,0,0,0
3,2,Reunir,1,0,1,0,2,0
5,3,,0,0,0,0,0,0
3,3,Reunir,1,0,1,0,2,0
5,4,,0,0,0,0,0,0
3,4,Reunir,1,0,1,0,2,0
,,,,,,,8,0
,,,,,,,,
,,,,,,,,
,,Total,40,2,40,2,82,4